Expected value: 2148.375
Variance: 1074.1875
Standard deviation: 32.774799770555425

Mean absolute error: 32225.0864
Mean relative error: 93.75%
Mean accuracy ratio: 1.00%

Smallest counter value: 1998
Largest counter value: 2321

Mean counter value: 2148.9136
Mean absolute deviation: 35.65207648
Standard deviation: 44.778324388480634
Maximum deviation: 172.08640000000014
Variance: 2005.0983350399997

Mean Counter Values per Word:
Word : Counter Value : Expected Value
profundamente   : 1.07          : 1.06
razão           : 1.06          : 1.06
official        : 1.06          : 1.06
desconhecido    : 1.06          : 1.06
lembra          : 1.06          : 1.06
passou          : 1.06          : 1.06
luar            : 1.06          : 1.06
olhava          : 1.06          : 1.06
medo            : 1.06          : 1.06
dever           : 1.06          : 1.06
traz            : 1.06          : 1.06
mulheres        : 1.06          : 1.06
mãe             : 1.06          : 1.06
cocheiro        : 1.05          : 1.06
belleza         : 1.05          : 1.06
trazia          : 1.01          : 1.00
lentamente      : 1.01          : 1.00
azul            : 1.01          : 1.00
força           : 1.01          : 1.00
grave           : 1.00          : 1.00
ouro            : 1.00          : 1.00
branco          : 1.00          : 1.00
existencia      : 1.00          : 1.00
têem            : 1.00          : 1.00
somno           : 1.00          : 1.00
ergui           : 1.00          : 1.00
expressão       : 1.00          : 1.00
aspecto         : 1.00          : 1.00
familia         : 0.99          : 1.00
querida         : 0.99          : 1.00
aquelles        : 0.99          : 1.00
tolda           : 0.99          : 1.00
unica           : 0.99          : 1.00
gesto           : 0.99          : 1.00
viva            : 0.99          : 1.00
paris           : 0.99          : 1.00
ouvia           : 0.99          : 1.00
branca          : 0.99          : 1.00
coupé           : 0.99          : 1.00
vestido         : 0.99          : 1.00
som             : 0.99          : 1.00
folha           : 0.98          : 1.00
sombra          : 0.98          : 1.00
ingleza         : 0.96          : 0.94
creio           : 0.95          : 0.94
armas           : 0.95          : 0.94
pallida         : 0.95          : 0.94
ouvi            : 0.95          : 0.94
natureza        : 0.94          : 0.94
fiquei          : 0.94          : 0.94
espírito        : 0.94          : 0.94
presença        : 0.94          : 0.94
escada          : 0.94          : 0.94
quiz            : 0.94          : 0.94
predio          : 0.94          : 0.94
nenhum          : 0.94          : 0.94
linda           : 0.94          : 0.94
natural         : 0.94          : 0.94
extremamente    : 0.93          : 0.94
entrei          : 0.93          : 0.94
cadeira         : 0.93          : 0.94
assassino       : 0.93          : 0.94
alegria         : 0.93          : 0.94
querido         : 0.93          : 0.94
luzes           : 0.93          : 0.94
será            : 0.93          : 0.94
unico           : 0.93          : 0.94
theatro         : 0.93          : 0.94
noticias        : 0.93          : 0.94
abriu           : 0.93          : 0.94
tivesse         : 0.93          : 0.94
paquete         : 0.93          : 0.94
resto           : 0.92          : 0.94
appareceu       : 0.89          : 0.88
respeito        : 0.89          : 0.88
veiu            : 0.89          : 0.88
carlos          : 0.88          : 0.88
olhei           : 0.88          : 0.88
extranho        : 0.88          : 0.88
seguinte        : 0.88          : 0.88
commigo         : 0.88          : 0.88
fôra            : 0.88          : 0.88
velha           : 0.88          : 0.88
possivel        : 0.88          : 0.88
rindo           : 0.88          : 0.88
frasco          : 0.88          : 0.88
evidentemente   : 0.87          : 0.88
frio            : 0.87          : 0.88
velhos          : 0.87          : 0.88
cruel           : 0.87          : 0.88
lugubre         : 0.87          : 0.88
miss            : 0.87          : 0.88
face            : 0.87          : 0.88
olhando         : 0.86          : 0.88
vendo           : 0.83          : 0.81
preciso         : 0.83          : 0.81
amisade         : 0.82          : 0.81
muro            : 0.82          : 0.81
amiga           : 0.82          : 0.81
marinheiros     : 0.82          : 0.81
emquanto        : 0.82          : 0.81
chorei          : 0.82          : 0.81
jantar          : 0.82          : 0.81
bolso           : 0.82          : 0.81
voltar          : 0.82          : 0.81
cerveja         : 0.82          : 0.81
