Expected value: 620.9375
Variance: 310.46875
Standard deviation: 17.62012343884117

Mean absolute error: 9314.3868
Mean relative error: 93.75%
Mean accuracy ratio: 1.00%

Smallest counter value: 532
Largest counter value: 718

Mean counter value: 620.6132
Mean absolute deviation: 19.2014924
Standard deviation: 24.136233876891396
Maximum deviation: 97.3868
Variance: 582.5577857599999

Mean Counter Values per Word:
Word : Counter Value : Expected Value
afable          : 0.20          : 0.19
rojas           : 0.19          : 0.19
clara           : 0.19          : 0.19
vella           : 0.19          : 0.19
pasó            : 0.19          : 0.19
espera          : 0.19          : 0.19
quise           : 0.19          : 0.19
sombra          : 0.19          : 0.19
gallegas        : 0.19          : 0.19
índice          : 0.19          : 0.19
torpe           : 0.19          : 0.19
norte           : 0.19          : 0.19
arguya          : 0.19          : 0.19
calleja         : 0.19          : 0.19
campo           : 0.19          : 0.19
llegado         : 0.19          : 0.19
frondoso        : 0.19          : 0.19
sueño           : 0.19          : 0.19
buscar          : 0.19          : 0.19
grita           : 0.19          : 0.19
espadas         : 0.19          : 0.19
responde        : 0.19          : 0.19
perdonad        : 0.19          : 0.19
campamento      : 0.19          : 0.19
dicha           : 0.19          : 0.19
gallegos        : 0.19          : 0.19
creyó           : 0.19          : 0.19
abrazan         : 0.19          : 0.19
steger          : 0.19          : 0.19
seguro          : 0.19          : 0.19
virtud          : 0.19          : 0.19
dejadme         : 0.19          : 0.19
obedezco        : 0.19          : 0.19
javier          : 0.19          : 0.19
centro          : 0.19          : 0.19
aventura        : 0.19          : 0.19
salid           : 0.19          : 0.19
ventura         : 0.19          : 0.19
avanzando       : 0.19          : 0.19
indicado        : 0.19          : 0.19
ciudad          : 0.19          : 0.19
caricatura      : 0.19          : 0.19
postura         : 0.19          : 0.19
ley             : 0.19          : 0.19
pido            : 0.19          : 0.19
pantomima       : 0.19          : 0.19
reparto         : 0.19          : 0.19
pravia          : 0.19          : 0.19
premio          : 0.19          : 0.19
divino          : 0.19          : 0.19
academia        : 0.19          : 0.19
armas           : 0.19          : 0.19
asaz            : 0.19          : 0.19
fernández       : 0.19          : 0.19
escuchando      : 0.19          : 0.19
dejadnos        : 0.19          : 0.19
sigilosamente   : 0.19          : 0.19
reyes           : 0.19          : 0.19
plugo           : 0.19          : 0.19
escudero        : 0.19          : 0.19
santiago        : 0.19          : 0.19
oyendo          : 0.19          : 0.19
salvalla        : 0.19          : 0.19
embozado        : 0.19          : 0.19
llevo           : 0.19          : 0.19
ii              : 0.19          : 0.19
dije            : 0.19          : 0.19
menguado        : 0.19          : 0.19
moro            : 0.19          : 0.19
calma           : 0.19          : 0.19
dedo            : 0.19          : 0.19
lejano          : 0.19          : 0.19
piedra          : 0.19          : 0.19
gonzález        : 0.19          : 0.19
ocultando       : 0.19          : 0.19
falta           : 0.19          : 0.19
reproche        : 0.19          : 0.19
jarama          : 0.19          : 0.19
olivo           : 0.19          : 0.19
original        : 0.19          : 0.19
gentil          : 0.19          : 0.19
puso            : 0.19          : 0.19
lavar           : 0.19          : 0.19
creerá          : 0.19          : 0.19
muerta          : 0.19          : 0.19
empuño          : 0.19          : 0.19
faz             : 0.19          : 0.19
cuán            : 0.19          : 0.19
vieron          : 0.19          : 0.19
concertado      : 0.19          : 0.19
quince          : 0.19          : 0.19
pendón          : 0.19          : 0.19
mancha          : 0.19          : 0.19
linfa           : 0.19          : 0.19
valiente        : 0.19          : 0.19
mujeres         : 0.19          : 0.19
mañana          : 0.19          : 0.19
aire            : 0.19          : 0.19
cabe            : 0.19          : 0.19
fizo            : 0.19          : 0.19
ilusión         : 0.19          : 0.19
guerreros       : 0.19          : 0.19
desnuda         : 0.19          : 0.19
rara            : 0.19          : 0.19
hermós          : 0.19          : 0.19
anciano         : 0.19          : 0.19
reponiéndose    : 0.19          : 0.19
miente          : 0.19          : 0.19
cuna            : 0.19          : 0.19
oyó             : 0.19          : 0.19
altivo          : 0.19          : 0.19
burgos          : 0.19          : 0.19
vives           : 0.19          : 0.19
recita          : 0.19          : 0.19
vestido         : 0.19          : 0.19
cruz            : 0.19          : 0.19
terraza         : 0.19          : 0.19
temo            : 0.19          : 0.19
escucha         : 0.19          : 0.19
perdí           : 0.19          : 0.19
penumbra        : 0.19          : 0.19
locura          : 0.19          : 0.19
quieto          : 0.19          : 0.19
sereno          : 0.19          : 0.19
casarse         : 0.19          : 0.19
sra             : 0.19          : 0.19
muro            : 0.19          : 0.19
serás           : 0.19          : 0.19
acerca          : 0.19          : 0.19
juré            : 0.19          : 0.19
acción          : 0.19          : 0.19
cumplí          : 0.19          : 0.19
nieve           : 0.19          : 0.19
cuerpo          : 0.19          : 0.19
pasión          : 0.19          : 0.19
furia           : 0.19          : 0.19
daño            : 0.19          : 0.19
preclara        : 0.19          : 0.19
iré             : 0.19          : 0.19
laúd            : 0.19          : 0.19
cabra           : 0.19          : 0.19
cristianos      : 0.19          : 0.19
camino          : 0.19          : 0.19
dardo           : 0.19          : 0.19
murmullos       : 0.19          : 0.19
recuerdo        : 0.19          : 0.19
cruel           : 0.19          : 0.19
iii             : 0.19          : 0.19
abovedada       : 0.19          : 0.19
pone            : 0.19          : 0.19
leyenda         : 0.19          : 0.19
capuchas        : 0.19          : 0.19
hoja            : 0.19          : 0.19
milagro         : 0.19          : 0.19
disparate       : 0.19          : 0.19
surgiendo       : 0.19          : 0.19
escogidas       : 0.19          : 0.19
perdonado       : 0.19          : 0.19
farol           : 0.19          : 0.19
agonizando      : 0.19          : 0.19
entera          : 0.19          : 0.19
piensas         : 0.19          : 0.19
