Expected value: 1724.375
Variance: 862.1875
Standard deviation: 29.363029475856198

Mean absolute error: 32.46
Mean relative error: 1.88%
Mean accuracy ratio: 98.12%

Smallest counter value: 1619
Largest counter value: 1842

Mean counter value: 1723.81
Mean absolute deviation: 32.41479999999999
Standard deviation: 41.5980035578632
Maximum deviation: 118.19000000000005
Variance: 1730.3938999999998

Mean Counter Values per Word:
Word : Counter Value : Expected Value
passo           : 0.77          : 0.69
som             : 0.77          : 0.62
feros           : 0.77          : 0.69
chegado         : 0.77          : 0.69
nações          : 0.77          : 0.69
ajunta          : 0.77          : 0.69
castigo         : 0.77          : 0.69
alheio          : 0.76          : 0.69
pura            : 0.76          : 0.69
cousa           : 0.76          : 0.69
fado            : 0.76          : 0.69
estima          : 0.76          : 0.69
portugal        : 0.76          : 0.69
buscando        : 0.75          : 0.75
correndo        : 0.75          : 0.69
dama            : 0.75          : 0.75
colo            : 0.75          : 0.81
dous            : 0.75          : 0.75
príncipe        : 0.75          : 0.94
lusitanos       : 0.74          : 0.88
vingança        : 0.74          : 0.69
ajuda           : 0.74          : 0.75
foge            : 0.74          : 0.69
divino          : 0.74          : 0.75
sono            : 0.74          : 0.81
ousadia         : 0.74          : 0.75
coisas          : 0.74          : 0.69
dado            : 0.73          : 0.62
longos          : 0.73          : 0.69
acompanhado     : 0.73          : 0.62
súbito          : 0.72          : 0.75
excelente       : 0.72          : 0.69
esconde         : 0.72          : 0.75
ofício          : 0.72          : 0.50
senhorio        : 0.72          : 0.75
nobres          : 0.72          : 0.81
famoso          : 0.72          : 0.75
netuno          : 0.72          : 0.81
veloso          : 0.72          : 0.62
andava          : 0.71          : 0.81
apresenta       : 0.71          : 0.69
fizeram         : 0.71          : 0.75
joane           : 0.71          : 0.75
vencedor        : 0.71          : 0.75
terá            : 0.71          : 0.81
praias          : 0.71          : 0.75
c               : 0.70          : 0.69
banda           : 0.70          : 0.69
mantimento      : 0.70          : 0.62
mata            : 0.70          : 0.81
viram           : 0.70          : 0.62
pequeno         : 0.69          : 0.62
cos             : 0.69          : 0.62
consigo         : 0.69          : 1.00
amada           : 0.69          : 0.75
poderoso        : 0.69          : 0.56
peso            : 0.69          : 0.56
palma           : 0.69          : 0.69
pés             : 0.69          : 0.75
dias            : 0.69          : 0.69
pedro           : 0.69          : 0.69
nele            : 0.69          : 0.69
recebe          : 0.68          : 0.62
obriga          : 0.68          : 0.75
negro           : 0.68          : 0.69
leda            : 0.68          : 0.69
los             : 0.68          : 0.69
aparece         : 0.68          : 0.69
pena            : 0.68          : 0.69
amigos          : 0.68          : 0.81
passar          : 0.68          : 0.88
subido          : 0.68          : 0.69
cavalos         : 0.68          : 0.69
fundo           : 0.68          : 0.81
roma            : 0.68          : 0.62
moço            : 0.68          : 0.88
sancho          : 0.68          : 0.56
passados        : 0.67          : 0.81
avante          : 0.67          : 0.62
boca            : 0.67          : 0.56
fronte          : 0.67          : 0.88
sinais          : 0.67          : 0.56
espera          : 0.67          : 0.56
duros           : 0.67          : 0.69
virá            : 0.67          : 0.56
casa            : 0.67          : 0.81
escuro          : 0.67          : 0.56
nua             : 0.67          : 0.62
chamam          : 0.67          : 0.56
alguma          : 0.67          : 0.62
extremo         : 0.66          : 0.50
dai             : 0.66          : 0.56
cobiça          : 0.66          : 0.62
eterno          : 0.66          : 0.75
almas           : 0.66          : 0.62
proa            : 0.66          : 0.62
nasce           : 0.65          : 0.62
outrem          : 0.65          : 0.62
justa           : 0.65          : 0.62
humanos         : 0.65          : 0.69
calecu          : 0.65          : 0.56
receio          : 0.65          : 0.62
tinham          : 0.65          : 0.44
determina       : 0.65          : 0.62
descoberto      : 0.65          : 0.69
sair            : 0.65          : 0.56
mandar          : 0.65          : 0.62
ilustres        : 0.64          : 0.56
barões          : 0.64          : 0.56
verdadeira      : 0.64          : 0.62
apolo           : 0.64          : 0.50
modo            : 0.64          : 0.75
muro            : 0.64          : 0.56
dio             : 0.63          : 0.50
rios            : 0.63          : 0.56
guerras         : 0.63          : 0.75
cantando        : 0.63          : 0.50
mim             : 0.63          : 0.62
febo            : 0.63          : 0.56
cortando        : 0.63          : 0.75
diversos        : 0.63          : 0.50
tamanho         : 0.63          : 0.69
pede            : 0.63          : 0.75
cego            : 0.63          : 0.56
fernando        : 0.63          : 0.69
mande           : 0.63          : 0.62
povos           : 0.63          : 0.62
mancebo         : 0.63          : 0.62
cria            : 0.62          : 0.62
bruta           : 0.62          : 0.50
piedade         : 0.62          : 0.69
ninguém         : 0.62          : 0.62
suave           : 0.62          : 0.56
tamanhas        : 0.62          : 0.56
certa           : 0.62          : 0.62
cristãos        : 0.62          : 0.69
vi              : 0.62          : 0.69
linda           : 0.61          : 0.56
versos          : 0.61          : 0.56
austro          : 0.61          : 0.56
longa           : 0.61          : 0.56
obedece         : 0.61          : 0.62
celeste         : 0.61          : 0.50
guarda          : 0.61          : 0.56
pequena         : 0.61          : 0.62
