Expected value: 2523.75
Variance: 1261.875
Standard deviation: 35.5228799508148

Mean absolute error: 71.25
Mean relative error: 2.82%
Mean accuracy ratio: 97.18%

Smallest counter value: 2595
Largest counter value: 2595

Mean counter value: 2595.0
Mean absolute deviation: 0.0
Standard deviation: 0.0
Maximum deviation: 0.0
Variance: 0.0

Mean Counter Values per Word:
Word : Counter Value : Expected Value
brimmed         : 2.00          : 0.25
cases           : 2.00          : 1.50
rose            : 2.00          : 1.62
chair           : 2.00          : 3.88
glanced         : 2.00          : 1.38
incisive        : 2.00          : 0.19
slowly          : 2.00          : 1.19
state           : 2.00          : 0.75
able            : 2.00          : 1.94
accustomed      : 2.00          : 0.44
known           : 2.00          : 1.81
look            : 2.00          : 4.56
difficult       : 2.00          : 0.88
photograph      : 2.00          : 1.56
mad             : 2.00          : 1.00
thirty          : 2.00          : 0.94
result          : 2.00          : 0.88
sign            : 2.00          : 1.19
laughed         : 2.00          : 1.25
second          : 2.00          : 1.56
beautiful       : 2.00          : 0.69
sure            : 2.00          : 2.69
drop            : 2.00          : 0.50
gold            : 2.00          : 1.12
briony          : 2.00          : 0.69
news            : 2.00          : 1.12
station         : 2.00          : 1.75
subtle          : 2.00          : 0.31
ceased          : 2.00          : 0.50
close           : 2.00          : 1.25
groom           : 2.00          : 0.31
walked          : 2.00          : 1.75
obliged         : 2.00          : 0.38
floor           : 2.00          : 1.81
child           : 2.00          : 1.31
reached         : 2.00          : 1.19
lane            : 2.00          : 1.44
deal            : 2.00          : 0.94
driven          : 2.00          : 0.50
began           : 2.00          : 1.56
likely          : 2.00          : 1.50
chambers        : 2.00          : 0.19
details         : 2.00          : 1.19
arms            : 2.00          : 0.94
devil           : 2.00          : 0.50
ll              : 2.00          : 2.12
life            : 2.00          : 3.00
streets         : 2.00          : 0.75
law             : 2.00          : 0.75
wish            : 2.00          : 2.75
hours           : 2.00          : 1.25
visible         : 2.00          : 0.31
plumber         : 2.00          : 0.31
fresh           : 2.00          : 1.25
occupant        : 2.00          : 0.25
quiet           : 2.00          : 1.31
easy            : 2.00          : 1.56
banker          : 2.00          : 0.75
remember        : 2.00          : 1.69
carriage        : 2.00          : 1.38
letter          : 2.00          : 1.88
dashed          : 2.00          : 0.50
sofa            : 2.00          : 0.56
ulster          : 2.00          : 0.31
arm             : 2.00          : 0.75
perfectly       : 2.00          : 0.75
shake           : 2.00          : 0.31
making          : 2.00          : 1.06
yesterday       : 2.00          : 0.81
ran             : 2.00          : 1.88
kind            : 2.00          : 1.31
upstairs        : 2.00          : 0.69
wished          : 2.00          : 0.75
value           : 2.00          : 0.69
set             : 2.00          : 2.69
closed          : 2.00          : 1.38
daring          : 2.00          : 0.31
grey            : 2.00          : 1.50
shook           : 2.00          : 1.00
noticed         : 2.00          : 0.44
considerable    : 2.00          : 1.31
fortune         : 2.00          : 0.69
body            : 2.00          : 1.31
court           : 2.00          : 1.19
live            : 2.00          : 0.94
office          : 2.00          : 1.62
weeks           : 2.00          : 1.06
couple          : 2.00          : 0.69
ways            : 2.00          : 0.69
sake            : 2.00          : 0.69
ordered         : 2.00          : 0.62
north           : 2.00          : 0.44
exceedingly     : 2.00          : 0.69
building        : 2.00          : 0.81
piece           : 2.00          : 0.75
short           : 2.00          : 1.38
earrings        : 2.00          : 0.12
thin            : 2.00          : 1.31
asleep          : 2.00          : 0.31
shining         : 2.00          : 0.75
instantly       : 2.00          : 1.06
enthusiastic    : 2.00          : 0.12
gently          : 2.00          : 0.44
amid            : 2.00          : 0.88
brilliant       : 2.00          : 0.38
neighbours      : 2.00          : 0.25
dog             : 2.00          : 1.00
goose           : 2.00          : 1.69
bed             : 2.00          : 2.44
longer          : 2.00          : 0.62
chink           : 2.00          : 0.12
shock           : 2.00          : 0.38
pistol          : 2.00          : 0.56
idea            : 2.00          : 1.44
touch           : 2.00          : 0.56
surprised       : 2.00          : 1.06
spent           : 2.00          : 0.62
george          : 2.00          : 0.88
sister          : 2.00          : 2.12
curling         : 2.00          : 0.19
hosmer          : 2.00          : 1.44
mother          : 2.00          : 1.44
income          : 2.00          : 0.38
friends         : 2.00          : 0.88
d               : 2.00          : 1.06
hotel           : 2.00          : 0.88
rising          : 2.00          : 0.56
leaned          : 2.00          : 0.31
conclusive      : 2.00          : 0.12
relatives       : 2.00          : 0.19
sideboard       : 2.00          : 0.38
appointment     : 2.00          : 0.56
fair            : 2.00          : 0.44
engagement      : 2.00          : 0.25
seated          : 2.00          : 0.38
district        : 2.00          : 0.19
hatherley       : 2.00          : 1.12
mccarthy        : 2.00          : 2.31
pool            : 2.00          : 1.19
angle           : 2.00          : 0.44
natural         : 2.00          : 0.56
innocent        : 2.00          : 1.06
