Expected value: 841.625
Variance: 420.8125
Standard deviation: 20.513714924410937

Mean absolute error: 12624.2258
Mean relative error: 93.75%
Mean accuracy ratio: 1.00%

Smallest counter value: 744
Largest counter value: 957

Mean counter value: 841.7742
Mean absolute deviation: 22.23601288
Standard deviation: 27.871763746846018
Maximum deviation: 115.22580000000005
Variance: 776.83521436

Mean Counter Values per Word:
Word : Counter Value : Expected Value
ioyfull         : 0.32          : 0.31
vow             : 0.32          : 0.31
fearefull       : 0.32          : 0.31
cut             : 0.32          : 0.31
bosome          : 0.32          : 0.31
sighes          : 0.32          : 0.31
stir            : 0.32          : 0.31
towne           : 0.32          : 0.31
walke           : 0.32          : 0.31
rude            : 0.32          : 0.31
churchyard      : 0.32          : 0.31
pleasure        : 0.32          : 0.31
spoke           : 0.32          : 0.31
sirrah          : 0.32          : 0.31
change          : 0.32          : 0.31
wo              : 0.32          : 0.31
second          : 0.32          : 0.31
longer          : 0.32          : 0.31
dreames         : 0.32          : 0.31
teare           : 0.32          : 0.31
abra            : 0.32          : 0.31
commend         : 0.32          : 0.31
excuse          : 0.32          : 0.31
foe             : 0.32          : 0.31
slow            : 0.32          : 0.31
faine           : 0.32          : 0.31
drinke          : 0.32          : 0.31
murther         : 0.32          : 0.31
prepare         : 0.32          : 0.31
beleeue         : 0.32          : 0.31
reason          : 0.32          : 0.31
returne         : 0.32          : 0.31
mou             : 0.32          : 0.31
lye             : 0.32          : 0.31
blind           : 0.32          : 0.31
bride           : 0.32          : 0.31
trust           : 0.32          : 0.31
cal             : 0.32          : 0.31
soft            : 0.32          : 0.31
slay            : 0.32          : 0.31
patience        : 0.31          : 0.31
hare            : 0.31          : 0.31
heauy           : 0.31          : 0.31
bad             : 0.31          : 0.31
ouer            : 0.31          : 0.31
sayes           : 0.31          : 0.31
crow            : 0.31          : 0.31
yond            : 0.31          : 0.31
heauie          : 0.31          : 0.31
scorne          : 0.31          : 0.31
wings           : 0.31          : 0.31
yonder          : 0.31          : 0.31
cause           : 0.31          : 0.31
wits            : 0.31          : 0.31
satisfied       : 0.31          : 0.31
hell            : 0.31          : 0.31
bloody          : 0.31          : 0.31
fingers         : 0.31          : 0.31
dagger          : 0.31          : 0.31
point           : 0.31          : 0.31
gray            : 0.31          : 0.31
auncient        : 0.31          : 0.31
written         : 0.31          : 0.31
briefe          : 0.31          : 0.31
wake            : 0.31          : 0.31
gold            : 0.31          : 0.31
honourable      : 0.31          : 0.31
power           : 0.31          : 0.31
greene          : 0.31          : 0.31
wild            : 0.31          : 0.31
musitions       : 0.31          : 0.31
vntimely        : 0.31          : 0.31
giues           : 0.31          : 0.31
sad             : 0.31          : 0.31
chide           : 0.31          : 0.31
ha              : 0.31          : 0.31
anger           : 0.31          : 0.31
mans            : 0.31          : 0.31
brother         : 0.31          : 0.31
rough           : 0.31          : 0.31
bright          : 0.31          : 0.31
speakes         : 0.31          : 0.31
ring            : 0.31          : 0.31
proud           : 0.31          : 0.31
lamentable      : 0.31          : 0.31
merrie          : 0.31          : 0.31
fellow          : 0.31          : 0.31
halfe           : 0.31          : 0.31
state           : 0.31          : 0.31
truth           : 0.31          : 0.31
ist             : 0.31          : 0.31
sure            : 0.31          : 0.31
shape           : 0.31          : 0.31
page            : 0.31          : 0.31
grace           : 0.31          : 0.31
ease            : 0.31          : 0.31
consent         : 0.31          : 0.31
withall         : 0.31          : 0.31
romeos          : 0.31          : 0.31
liuing          : 0.31          : 0.31
beauties        : 0.31          : 0.31
simple          : 0.30          : 0.31
strike          : 0.30          : 0.31
aske            : 0.30          : 0.31
wherefore       : 0.30          : 0.31
mercy           : 0.30          : 0.31
borne           : 0.30          : 0.31
wisely          : 0.30          : 0.31
dayes           : 0.30          : 0.31
neere           : 0.30          : 0.31
knocke          : 0.30          : 0.31
lead            : 0.30          : 0.31
depart          : 0.30          : 0.31
saies           : 0.30          : 0.31
dare            : 0.30          : 0.31
brow            : 0.26          : 0.25
shrift          : 0.26          : 0.25
maiden          : 0.26          : 0.25
met             : 0.26          : 0.25
ward            : 0.26          : 0.25
dares           : 0.26          : 0.25
