Expected value: 1724.375
Variance: 862.1875
Standard deviation: 29.363029475856198

Mean absolute error: 62.375
Mean relative error: 3.62%
Mean accuracy ratio: 96.38%

Smallest counter value: 1662
Largest counter value: 1662

Mean counter value: 1662.0
Mean absolute deviation: 0.0
Standard deviation: 0.0
Maximum deviation: 0.0
Variance: 0.0

Mean Counter Values per Word:
Word : Counter Value : Expected Value
lança           : 1.00          : 1.12
maravilha       : 1.00          : 0.44
fatal           : 1.00          : 0.38
dada            : 1.00          : 0.25
ramo            : 1.00          : 0.56
cristo          : 1.00          : 1.25
ocidente        : 1.00          : 0.25
vede            : 1.00          : 0.56
vitória         : 1.00          : 1.44
cruz            : 1.00          : 0.25
poderoso        : 1.00          : 0.56
deixa           : 1.00          : 0.94
vitupério       : 1.00          : 0.31
licor           : 1.00          : 0.50
santo           : 1.00          : 1.50
mostra          : 1.00          : 1.19
vereis          : 1.00          : 1.56
valerosos       : 1.00          : 0.12
pátria          : 1.00          : 2.12
prémio          : 1.00          : 0.88
vil             : 1.00          : 1.19
ouvi            : 1.00          : 0.25
vãs             : 1.00          : 0.38
tamanhas        : 1.00          : 0.56
serviço         : 1.00          : 0.56
d               : 1.00          : 2.56
cítara          : 1.00          : 0.19
toma            : 1.00          : 1.06
afonso          : 1.00          : 1.69
estranha        : 1.00          : 1.50
bandeira        : 1.00          : 0.50
tejo            : 1.00          : 1.56
tomai           : 1.00          : 0.12
ouvido          : 1.00          : 0.38
grosso          : 1.00          : 0.19
singulares      : 1.00          : 0.44
afigurado       : 1.00          : 0.06
bárbaro         : 1.00          : 0.75
senhorio        : 1.00          : 0.75
belo            : 1.00          : 0.44
deseja          : 1.00          : 0.88
morada          : 1.00          : 0.06
lento           : 1.00          : 0.25
povos           : 1.00          : 0.62
atrevimento     : 1.00          : 0.12
irado           : 1.00          : 1.19
ventos          : 1.00          : 1.69
velas           : 1.00          : 1.25
cobertos        : 1.00          : 0.19
gado            : 1.00          : 0.50
deuses          : 1.00          : 2.00
governo         : 1.00          : 0.25
glorioso        : 1.00          : 0.12
cristalino      : 1.00          : 0.31
gentil          : 1.00          : 0.38
velho           : 1.00          : 1.25
deixam          : 1.00          : 0.31
céus            : 1.00          : 1.19
regimento       : 1.00          : 0.56
dado            : 1.00          : 0.62
pensamento      : 1.00          : 0.94
partes          : 1.00          : 1.62
padre           : 1.00          : 1.19
dino            : 1.00          : 0.25
vulcano         : 1.00          : 0.50
rosto           : 1.00          : 1.44
rutilante       : 1.00          : 0.19
c               : 1.00          : 0.69
voz             : 1.00          : 1.56
começa          : 1.00          : 0.88
grave           : 1.00          : 0.44
perdeis         : 1.00          : 0.06
sabido          : 1.00          : 0.31
claramente      : 1.00          : 0.38
fados           : 1.00          : 0.38
persas          : 1.00          : 0.12
concedido       : 1.00          : 0.19
castelhano      : 1.00          : 0.88
temido          : 1.00          : 0.31
guerra          : 1.00          : 3.12
obriga          : 1.00          : 0.75
peregrino       : 1.00          : 0.06
espírito        : 1.00          : 0.56
vias            : 1.00          : 0.50
propósito       : 1.00          : 0.44
alta            : 1.00          : 2.06
tempos          : 1.00          : 0.25
