Expected value: 9129.9375
Variance: 4564.96875
Standard deviation: 67.56455246651161

Mean absolute error: 108.9375
Mean relative error: 1.19%
Mean accuracy ratio: 98.81%

Smallest counter value: 9021
Largest counter value: 9021

Mean counter value: 9021.0
Mean absolute deviation: 0.0
Standard deviation: 0.0
Maximum deviation: 0.0
Variance: 0.0

Mean Counter Values per Word:
Word : Counter Value : Expected Value
versos          : 4.00          : 3.31
pastor          : 4.00          : 3.81
pasaron         : 4.00          : 2.75
discretas       : 4.00          : 1.31
llevaban        : 4.00          : 2.12
orden           : 4.00          : 6.00
averiguar       : 4.00          : 0.94
discreto        : 4.00          : 4.81
carrasco        : 4.00          : 3.88
leones          : 4.00          : 2.12
camacho         : 4.00          : 2.25
basilio         : 4.00          : 3.31
respuesta       : 4.00          : 3.06
amores          : 4.00          : 2.88
papel           : 4.00          : 2.50
veinte          : 4.00          : 3.50
licenciado      : 4.00          : 3.56
autor           : 4.00          : 5.25
efeto           : 4.00          : 2.94
estando         : 4.00          : 5.75
dellos          : 4.00          : 6.12
favorecer       : 4.00          : 1.06
suelen          : 4.00          : 3.69
causa           : 4.00          : 7.75
antiguo         : 4.00          : 0.94
llaman          : 4.00          : 5.06
silencio        : 4.00          : 4.69
duques          : 4.00          : 2.56
damas           : 4.00          : 2.12
habéis          : 4.00          : 6.94
fuerzas         : 4.00          : 3.12
mayores         : 4.00          : 4.19
decía           : 4.00          : 11.88
amistad         : 4.00          : 2.56
malos           : 4.00          : 2.56
gigante         : 4.00          : 3.50
mar             : 4.00          : 3.69
simple          : 4.00          : 1.69
disparates      : 4.00          : 3.06
salga           : 4.00          : 1.06
puesta          : 4.00          : 3.12
verás           : 4.00          : 1.94
entiende        : 4.00          : 1.31
pies            : 4.00          : 8.56
sabio           : 4.00          : 2.88
varón           : 4.00          : 0.94
milagro         : 4.00          : 1.69
partes          : 4.00          : 6.38
edad            : 4.00          : 3.94
dormir          : 4.00          : 3.88
perder          : 4.00          : 2.94
imaginación     : 4.00          : 2.88
traidor         : 4.00          : 1.38
irse            : 4.00          : 1.56
leído           : 4.00          : 4.31
priesa          : 4.00          : 4.56
tenían          : 4.00          : 4.12
hacían          : 4.00          : 2.31
entera          : 4.00          : 1.06
queda           : 4.00          : 3.81
diga            : 4.00          : 3.62
halló           : 4.00          : 4.38
locura          : 4.00          : 4.88
prosiguió       : 4.00          : 3.31
lenguas         : 4.00          : 1.38
marido          : 4.00          : 4.88
hallado         : 4.00          : 3.75
hambre          : 4.00          : 3.69
mirando         : 4.00          : 3.38
iban            : 4.00          : 3.25
llegando        : 4.00          : 3.19
altas           : 4.00          : 1.62
andaban         : 4.00          : 1.69
oyeron          : 4.00          : 2.62
cualquiera      : 4.00          : 2.31
pensar          : 4.00          : 5.56
servido         : 4.00          : 3.19
haría           : 4.00          : 2.25
mesa            : 4.00          : 2.81
boca            : 4.00          : 6.62
diciéndole      : 4.00          : 3.25
presencia       : 4.00          : 3.19
venido          : 4.00          : 2.88
sabía           : 4.00          : 5.56
salían          : 4.00          : 0.75
presto          : 4.00          : 4.69
viéndole        : 4.00          : 1.62
baja            : 4.00          : 2.25
burlas          : 4.00          : 2.00
dientes         : 4.00          : 2.44
responder       : 4.00          : 3.44
culpa           : 4.00          : 4.00
veras           : 4.00          : 2.50
perjuicio       : 4.00          : 1.31
quisiere        : 4.00          : 4.31
francia         : 4.00          : 1.94
llegado         : 4.00          : 2.88
abajo           : 4.00          : 2.56
anda            : 4.00          : 2.75
término         : 4.00          : 3.00
fueran          : 4.00          : 2.88
vitoria         : 4.00          : 1.00
presteza        : 4.00          : 2.19
leguas          : 4.00          : 2.44
justo           : 4.00          : 2.31
darme           : 4.00          : 2.88
santa           : 4.00          : 3.06
acabaron        : 4.00          : 0.75
alcanzar        : 4.00          : 2.56
primo           : 4.00          : 2.88
haberse         : 4.00          : 1.38
contado         : 4.00          : 2.69
vuelve          : 4.00          : 1.81
hombros         : 4.00          : 1.81
acabe           : 4.00          : 1.31
estancia        : 4.00          : 1.50
pudiere         : 4.00          : 1.19
escudos         : 4.00          : 2.81
barca           : 4.00          : 2.06
mancebo         : 4.00          : 2.00
cardenio        : 4.00          : 6.31
cola            : 4.00          : 1.31
estrecheza      : 4.00          : 1.19
costumbres      : 4.00          : 1.00
notado          : 4.00          : 0.56
quiteria        : 4.00          : 2.50
ricote          : 4.00          : 2.19
salida          : 3.00          : 1.88
marcela         : 3.00          : 1.75
imaginaba       : 3.00          : 1.19
cuentan         : 3.00          : 1.94
alta            : 3.00          : 3.56
rica            : 3.00          : 1.38
raras           : 3.00          : 0.56
intención       : 3.00          : 6.69
gracioso        : 3.00          : 1.69
discurso        : 3.00          : 4.19
mozo            : 3.00          : 5.44
canónigo        : 3.00          : 2.50
costa           : 3.00          : 2.19
fee             : 3.00          : 1.31
plática         : 3.00          : 3.50
carro           : 3.00          : 3.38
escuderos       : 3.00          : 4.06
ánimo           : 3.00          : 4.12
rico            : 3.00          : 4.81
pedro           : 3.00          : 6.50
atención        : 3.00          : 1.50
escribió        : 3.00          : 1.31
consejos        : 3.00          : 1.56
comenzó         : 3.00          : 8.31
rodríguez       : 3.00          : 2.81
encantada       : 3.00          : 1.94
galeras         : 3.00          : 2.31
sucedido        : 3.00          : 3.25
blanca          : 3.00          : 3.38
seguir          : 3.00          : 2.06
año             : 3.00          : 2.94
aldea           : 3.00          : 3.69
juan            : 3.00          : 2.38
dello           : 3.00          : 1.00
mes             : 3.00          : 1.69
imprimir        : 3.00          : 1.00
mandar          : 3.00          : 1.31
personas        : 3.00          : 3.06
esté            : 3.00          : 2.94
destos          : 3.00          : 3.56
obras           : 3.00          : 3.81
justicia        : 3.00          : 3.12
poniendo        : 3.00          : 1.19
seco            : 3.00          : 1.00
contento        : 3.00          : 7.50
gracia          : 3.00          : 1.94
corriente       : 3.00          : 0.69
tienes          : 3.00          : 3.75
tuve            : 3.00          : 2.06
entendido       : 3.00          : 1.25
hazañas         : 3.00          : 4.25
confuso         : 3.00          : 1.81
dirá            : 3.00          : 1.94
veo             : 3.00          : 3.69
dirán           : 3.00          : 0.69
poetas          : 3.00          : 1.81
españa          : 3.00          : 4.69
quede           : 3.00          : 1.25
hallo           : 3.00          : 1.94
oyendo          : 3.00          : 3.88
estáis          : 3.00          : 1.50
serlo           : 3.00          : 2.25
veréis          : 3.00          : 1.19
remedio         : 3.00          : 4.69
decís           : 3.00          : 3.25
pensáis         : 3.00          : 0.69
confusión       : 3.00          : 1.31
dé              : 3.00          : 5.25
manda           : 3.00          : 1.56
opinión         : 3.00          : 2.94
cargo           : 3.00          : 2.94
clara           : 3.00          : 2.69
efecto          : 3.00          : 3.12
vale            : 3.00          : 2.19
mostrar         : 3.00          : 1.56
príncipes       : 3.00          : 1.94
deja            : 3.00          : 2.50
amadís          : 3.00          : 2.88
alegre          : 3.00          : 2.50
fortuna         : 3.00          : 4.69
trocara         : 3.00          : 0.38
llama           : 3.00          : 3.62
espada          : 3.00          : 7.00
infierno        : 3.00          : 1.81
brazo           : 3.00          : 4.81
talante         : 3.00          : 1.50
vaca            : 3.00          : 0.50
caza            : 3.00          : 1.50
quieren         : 3.00          : 2.88
diferencia      : 3.00          : 1.31
llamaba         : 3.00          : 4.00
basta           : 3.00          : 2.75
escrito         : 3.00          : 3.19
estrellas       : 3.00          : 1.25
nicolás         : 3.00          : 1.12
batallas        : 3.00          : 1.25
revés           : 3.00          : 2.00
veía            : 3.00          : 1.50
fuerte          : 3.00          : 2.62
sacó            : 3.00          : 3.06
facilidad       : 3.00          : 2.12
tornó           : 3.00          : 2.56
vivo            : 3.00          : 2.75
linaje          : 3.00          : 2.62
rodillas        : 3.00          : 2.44
hacía           : 3.00          : 7.25
hablando        : 3.00          : 2.00
tiempos         : 3.00          : 2.69
hechos          : 3.00          : 2.75
contar          : 3.00          : 3.25
cabellos        : 3.00          : 2.88
cama            : 3.00          : 2.50
quienquiera     : 3.00          : 1.00
seas            : 3.00          : 1.06
volvía          : 3.00          : 1.50
sujeto          : 3.00          : 1.25
anochecer       : 3.00          : 0.50
pudiese         : 3.00          : 2.81
acaso           : 3.00          : 3.38
andaba          : 3.00          : 3.06
cuidado         : 3.00          : 3.31
quitar          : 3.00          : 3.50
sazón           : 3.00          : 5.12
ponía           : 3.00          : 1.50
determinación   : 3.00          : 1.81
cortesía        : 3.00          : 2.88
alabanza        : 3.00          : 0.94
dineros         : 3.00          : 3.69
traído          : 3.00          : 1.69
vela            : 3.00          : 1.38
mirar           : 3.00          : 3.62
atrevido        : 3.00          : 1.62
quieres         : 3.00          : 3.31
alzó            : 3.00          : 2.50
amparo          : 3.00          : 0.94
hubiera         : 3.00          : 4.69
demasía         : 3.00          : 0.50
quedar          : 3.00          : 2.69
tocaba          : 3.00          : 1.19
desto           : 3.00          : 2.25
diole           : 3.00          : 0.94
haga            : 3.00          : 4.69
hiciese         : 3.00          : 2.50
rogó            : 3.00          : 1.94
volviendo       : 3.00          : 1.81
pasos           : 3.00          : 2.25
sacado          : 3.00          : 1.38
daño            : 3.00          : 3.88
hará            : 3.00          : 2.38
paga            : 3.00          : 1.19
mirad           : 3.00          : 2.88
acá             : 3.00          : 3.06
vuelva          : 3.00          : 1.56
quedo           : 3.00          : 1.94
confesar        : 3.00          : 0.94
cobarde         : 3.00          : 0.88
caído           : 3.00          : 2.31
molido          : 3.00          : 2.31
puro            : 3.00          : 1.56
preguntar       : 3.00          : 1.50
pláticas        : 3.00          : 2.06
llegada         : 3.00          : 0.31
pase            : 3.00          : 1.00
fuego           : 3.00          : 3.31
vengo           : 3.00          : 1.19
caída           : 3.00          : 1.56
pidió           : 3.00          : 2.94
aposento        : 3.00          : 5.81
cuerpos         : 3.00          : 1.12
simplicidad     : 3.00          : 0.94
humo            : 3.00          : 0.62
arte            : 3.00          : 1.44
ventana         : 3.00          : 1.94
reina           : 3.00          : 3.50
antonio         : 3.00          : 4.06
salido          : 3.00          : 2.38
celos           : 3.00          : 1.44
esperar         : 3.00          : 4.06
mejores         : 3.00          : 2.62
italia          : 3.00          : 0.38
volviéndose     : 3.00          : 1.94
calle           : 3.00          : 2.06
allá            : 3.00          : 4.88
razonable       : 3.00          : 0.88
asimesmo        : 3.00          : 2.19
honrada         : 3.00          : 1.50
viaje           : 3.00          : 2.56
principal       : 3.00          : 3.62
dándole         : 3.00          : 1.31
malas           : 3.00          : 1.81
comenzado       : 3.00          : 1.06
paz             : 3.00          : 3.69
sintió          : 3.00          : 1.50
ofrecimientos   : 3.00          : 1.31
desengaño       : 3.00          : 0.81
calles          : 3.00          : 1.31
descubierto     : 3.00          : 1.88
pasa            : 3.00          : 1.56
ejemplo         : 3.00          : 1.50
forzoso         : 3.00          : 1.88
traigo          : 3.00          : 1.50
prometida       : 3.00          : 1.12
hablado         : 3.00          : 1.75
conciencia      : 3.00          : 2.44
callar          : 3.00          : 0.75
bellotas        : 3.00          : 0.94
aguas           : 3.00          : 1.69
valientes       : 3.00          : 1.62
reja            : 3.00          : 0.88
honestidad      : 3.00          : 2.75
dejo            : 3.00          : 0.88
sabéis          : 3.00          : 1.19
grisóstomo      : 3.00          : 1.81
salamanca       : 3.00          : 0.94
decían          : 3.00          : 2.19
sale            : 3.00          : 2.12
bendición       : 3.00          : 1.19
pobres          : 3.00          : 1.56
justas          : 3.00          : 1.31
admiración      : 3.00          : 2.50
podré           : 3.00          : 2.06
labios          : 3.00          : 1.31
ordenó          : 3.00          : 1.62
mostró          : 3.00          : 1.81
bienes          : 3.00          : 1.12
persuadir       : 3.00          : 1.12
discretos       : 3.00          : 1.50
porfía          : 3.00          : 0.56
acababa         : 3.00          : 0.69
yerba           : 3.00          : 1.19
entrambos       : 3.00          : 2.31
casta           : 3.00          : 0.50
subido          : 3.00          : 0.56
teniéndole      : 3.00          : 0.31
ventaja         : 3.00          : 1.00
ventera         : 3.00          : 1.88
desdichada      : 3.00          : 1.38
orientales      : 3.00          : 0.44
despertó        : 3.00          : 1.19
vieja           : 3.00          : 0.56
paño            : 3.00          : 1.50
presentes       : 3.00          : 3.12
pude            : 3.00          : 1.50
poderoso        : 3.00          : 1.25
colores         : 3.00          : 1.00
ido             : 3.00          : 1.44
recio           : 3.00          : 1.44
alas            : 3.00          : 1.00
apostaré        : 3.00          : 1.00
corte           : 3.00          : 2.75
contenta        : 3.00          : 1.12
partida         : 3.00          : 1.75
pese            : 3.00          : 0.62
cadena          : 3.00          : 1.06
garganta        : 3.00          : 1.06
luscinda        : 3.00          : 6.19
eneas           : 3.00          : 0.62
argel           : 3.00          : 1.25
lados           : 3.00          : 0.69
moneda          : 3.00          : 0.69
mesón           : 3.00          : 0.69
arrogancia      : 3.00          : 0.19
miguel          : 2.00          : 1.19
saavedra        : 2.00          : 0.62
ejercicio       : 2.00          : 3.44
escrutinio      : 2.00          : 0.31
viento          : 2.00          : 2.88
batalla         : 2.00          : 5.25
tuvieron        : 2.00          : 2.88
cabreros        : 2.00          : 1.12
pastora         : 2.00          : 1.31
famosos         : 2.00          : 1.94
yelmo           : 2.00          : 2.50
impertinente    : 2.00          : 1.62
mulas           : 2.00          : 1.88
acaba           : 2.00          : 1.44
albarda         : 2.00          : 2.88
cuadrilleros    : 2.00          : 1.50
encantado       : 2.00          : 3.62
caballerías     : 2.00          : 5.00
pendencia       : 2.00          : 1.81
conde           : 2.00          : 1.56
lector          : 2.00          : 0.62
enfermedad      : 2.00          : 1.06
razonamiento    : 2.00          : 0.69
yendo           : 2.00          : 1.81
carreta         : 2.00          : 1.19
espejos         : 2.00          : 1.94
felicemente     : 2.00          : 0.31
gabán           : 2.00          : 0.88
cueva           : 2.00          : 3.00
montesinos      : 2.00          : 3.31
cima            : 2.00          : 0.88
adivino         : 2.00          : 0.44
quisiera        : 2.00          : 5.56
sabrá           : 2.00          : 1.06
graves          : 2.00          : 0.88
digna           : 2.00          : 1.62
par             : 2.00          : 4.31
famosas         : 2.00          : 0.50
desencanto      : 2.00          : 1.50
dolorida        : 2.00          : 2.31
tocan           : 2.00          : 0.62
llevado         : 2.00          : 2.19
tomó            : 2.00          : 4.31
enamorada       : 2.00          : 1.06
escritura       : 2.00          : 1.06
paje            : 2.00          : 3.06
defensa         : 2.00          : 1.31
entrada         : 2.00          : 1.56
promesa         : 2.00          : 1.12
doy             : 2.00          : 3.44
pliego          : 2.00          : 0.81
maravedís       : 2.00          : 1.06
licencia        : 2.00          : 4.62
ponga           : 2.00          : 1.88
presente        : 2.00          : 3.69
madre           : 2.00          : 5.00
dicha           : 2.00          : 2.38
mención         : 2.00          : 0.31
so              : 2.00          : 0.94
juez            : 2.00          : 0.94
quedan          : 2.00          : 1.62
penas           : 2.00          : 1.00
leyes           : 2.00          : 2.50
inclinado       : 2.00          : 0.44
servicio        : 2.00          : 1.88
vulgo           : 2.00          : 1.25
suplico         : 2.00          : 1.81
andar           : 2.00          : 4.12
podrás          : 2.00          : 0.62
apacible        : 2.00          : 0.75
fuentes         : 2.00          : 0.88
feo             : 2.00          : 0.69
faltas          : 2.00          : 0.75
amigos          : 2.00          : 4.19
lágrimas        : 2.00          : 6.19
pintado         : 2.00          : 1.38
puedes          : 2.00          : 2.00
leyendo         : 2.00          : 0.81
tomé            : 2.00          : 1.62
dejé            : 2.00          : 1.56
suspenso        : 2.00          : 1.88
entró           : 2.00          : 4.50
noble           : 2.00          : 1.00
invención       : 2.00          : 1.50
falta           : 2.00          : 4.94
filósofos       : 2.00          : 0.25
autores         : 2.00          : 1.25
divina          : 2.00          : 0.62
ponerme         : 2.00          : 1.50
risa            : 2.00          : 3.38
engaño          : 2.00          : 2.19
conozco         : 2.00          : 2.38
atento          : 2.00          : 1.38
cerrar          : 2.00          : 0.94
quisiéredes     : 2.00          : 1.00
emperador       : 2.00          : 3.00
venga           : 2.00          : 3.62
pro             : 2.00          : 0.88
siquiera        : 2.00          : 2.00
escribe         : 2.00          : 1.06
león            : 2.00          : 1.44
historias       : 2.00          : 3.19
alcanzó         : 2.00          : 0.88
humano          : 2.00          : 1.19
divino          : 2.00          : 0.50
género          : 2.00          : 3.00
fábulas         : 2.00          : 0.31
escurecerlos    : 2.00          : 0.12
honrado         : 2.00          : 1.50
conocimiento    : 2.00          : 1.44
alejandro       : 2.00          : 0.69
ruines          : 2.00          : 0.25
